TITLE,BREADCRUMB NAVIGATION,URL,Status
Cách để thay đổi giá mặc định của báo giá,Cách báo giá và xuất bản vẽ > Báo giá,https://jega.vn/vi/trung-tam-huong-dan/cach-de-thay-doi-gia-mac-dinh-cua-bao-gia-ic530.html,"Đã hoàn thành"
Tại sao báo giá không hiển thị số tiền?,Cách báo giá và xuất bản vẽ > Báo giá,https://jega.vn/vi/trung-tam-huong-dan/tai-sao-bao-gia-khong-hien-thi-so-tien-ic531.html,"Đã hoàn thành"
Thiết lập tài khoản - Quản lý dự án,Thiết lập tài khoản > Thiết lập tài khoản - Quản lý dự án,https://jega.vn/vi/trung-tam-huong-dan/cach-de-sua-doi-ten-du-an-ic527.html,"Đã hoàn thành"
Cách để thay thế logo trên báo giá?,Cách báo giá và xuất bản vẽ > Báo giá,https://jega.vn/vi/trung-tam-huong-dan/cach-de-thay-the-logo-tren-bao-gia-ic532.html,"Đã hoàn thành"
Cách để thay thế logo trên báo giá?,Cách báo giá và xuất bản vẽ > Báo giá,https://jega.vn/vi/trung-tam-huong-dan/cach-de-thay-the-logo-tren-bao-gia-ic532.html,"Đã hoàn thành"
Tại sao không thể nhận được báo giá,Cách báo giá và xuất bản vẽ > Báo giá,https://jega.vn/vi/trung-tam-huong-dan/tai-sao-khong-the-nhan-duoc-bao-gia-ic533.html,"Đã hoàn thành"
Báo giá toàn bộ ngôi nhà,Cách báo giá và xuất bản vẽ > Báo giá,https://jega.vn/vi/trung-tam-huong-dan/bao-gia-toan-bo-ngoi-nha-ic534.html,"Đã hoàn thành"
Trần và tường - Tấm ốp trần,Thiết kế xây dựng > Trần và tường - Tấm ốp trần,https://jega.vn/vi/trung-tam-huong-dan/tam-op-tran-icXXX.html,"Chưa triển khai - URL lỗi"
Cách để tăng kích thước của tấm ốp trần,Thiết kế xây dựng > Trần và tường - Tấm ốp trần,https://jega.vn/vi/trung-tam-huong-dan/cach-de-tang-kich-thuoc-cua-tam-op-tran-ic528.html,"Đã hoàn thành"
Tại sao tôi không thể nhìn thấy đèn Spotlight sau khi lắp đặt tấm ốp trần?,Thiết kế xây dựng > Trần và tường - Tấm ốp trần,https://jega.vn/vi/trung-tam-huong-dan/tai-sao-toi-khong-the-nhin-thay-den-spotlight-sau-khi-lap-dat-tam-op-tran-ic529.html,"Đã hoàn thành"
